theta,t_c,gp_mean,L_true
9.200,0.662,0.4523,0.4117
9.800,0.662,0.4178,0.3842
10.400,0.662,0.3838,0.3592
11.000,0.662,0.3506,0.3354
11.600,0.662,0.3184,0.3117
12.200,0.662,0.2875,0.2863
12.800,0.662,0.2581,0.2575
13.400,0.662,0.2302,0.2288
14.000,0.662,0.2041,0.2000
14.600,0.662,0.1799,0.1731
15.200,0.662,0.1577,0.1463
15.800,0.662,0.1375,0.1194
16.400,0.662,0.1193,0.0988
17.000,0.662,0.1032,0.0813
17.600,0.662,0.0890,0.0637
18.200,0.662,0.0768,0.0498
18.800,0.662,0.0664,0.0429
19.400,0.662,0.0577,0.0360
20.000,0.662,0.0506,0.0292
20.600,0.662,0.0450,0.0210
21.200,0.662,0.0406,0.0129
21.800,0.662,0.0373,0.0048
22.400,0.662,0.0350,0.0017
23.000,0.662,0.0334,0.0010
23.600,0.662,0.0325,0.0004
24.200,0.662,0.0319,0.0000
24.800,0.662,0.0316,0.0000
25.400,0.662,0.0314,0.0000
26.000,0.662,0.0312,0.0000
26.600,0.662,0.0309,0.0000
27.200,0.662,0.0303,0.0000
27.800,0.662,0.0294,0.0000
28.400,0.662,0.0282,0.0000
29.000,0.662,0.0264,0.0000
29.600,0.662,0.0243,0.0000
30.200,0.662,0.0217,0.0000
30.800,0.662,0.0186,0.0000
31.400,0.662,0.0151,0.0000
32.000,0.662,0.0112,0.0000
8.000,0.700,0.5406,0.4942
8.600,0.700,0.5064,0.4674
9.200,0.700,0.4720,0.4407
9.800,0.700,0.4377,0.4139
10.400,0.700,0.4039,0.3897
11.000,0.700,0.3708,0.3667
11.600,0.700,0.3387,0.3437
12.200,0.700,0.3076,0.3188
12.800,0.700,0.2780,0.2900
13.400,0.700,0.2499,0.2613
14.000,0.700,0.2234,0.2325
14.600,0.700,0.1988,0.2053
15.200,0.700,0.1760,0.1780
15.800,0.700,0.1552,0.1507
16.400,0.700,0.1364,0.1295
17.000,0.700,0.1195,0.1112
17.600,0.700,0.1046,0.0930
18.200,0.700,0.0916,0.0774
18.800,0.700,0.0804,0.0672
19.400,0.700,0.0708,0.0569
20.000,0.700,0.0628,0.0467
20.600,0.700,0.0563,0.0337
21.200,0.700,0.0510,0.0207
21.800,0.700,0.0468,0.0077
22.400,0.700,0.0435,0.0027
23.000,0.700,0.0411,0.0017
23.600,0.700,0.0392,0.0007
24.200,0.700,0.0378,0.0000
24.800,0.700,0.0366,0.0000
25.400,0.700,0.0356,0.0000
26.000,0.700,0.0346,0.0000
26.600,0.700,0.0335,0.0000
27.200,0.700,0.0322,0.0000
27.800,0.700,0.0307,0.0000
28.400,0.700,0.0287,0.0000
29.000,0.700,0.0264,0.0000
29.600,0.700,0.0237,0.0000
30.200,0.700,0.0205,0.0000
30.800,0.700,0.0170,0.0000
31.400,0.700,0.0130,0.0000
32.000,0.700,0.0087,0.0000
8.000,0.737,0.5534,0.5171
8.600,0.737,0.5199,0.4911
9.200,0.737,0.4861,0.4651
9.800,0.737,0.4525,0.4391
10.400,0.737,0.4192,0.4152
11.000,0.737,0.3865,0.3925
11.600,0.737,0.3546,0.3698
12.200,0.737,0.3238,0.3452
12.800,0.737,0.2942,0.3169
13.400,0.737,0.2661,0.2887
14.000,0.737,0.2395,0.2604
14.600,0.737,0.2147,0.2330
15.200,0.737,0.1916,0.2057
15.800,0.737,0.1704,0.1783
16.400,0.737,0.1512,0.1563
17.000,0.737,0.1338,0.1371
17.600,0.737,0.1182,0.1178
18.200,0.737,0.1045,0.1007
18.800,0.737,0.0926,0.0877
19.400,0.737,0.0822,0.0747
20.000,0.737,0.0734,0.0617
20.600,0.737,0.0660,0.0448
21.200,0.737,0.0599,0.0279
21.800,0.737,0.0548,0.0110
22.400,0.737,0.0507,0.0043
23.000,0.737,0.0473,0.0027
23.600,0.737,0.0445,0.0011
24.200,0.737,0.0422,0.0000
24.800,0.737,0.0402,0.0000
25.400,0.737,0.0383,0.0000
26.000,0.737,0.0365,0.0000
26.600,0.737,0.0346,0.0000
27.200,0.737,0.0326,0.0000
27.800,0.737,0.0303,0.0000
28.400,0.737,0.0277,0.0000
29.000,0.737,0.0247,0.0000
29.600,0.737,0.0214,0.0000
30.200,0.737,0.0177,0.0000
30.800,0.737,0.0136,0.0000
31.400,0.737,0.0092,0.0000
32.000,0.737,0.0045,0.0000
8.000,0.775,0.5618,0.5308
8.600,0.775,0.5293,0.5056
9.200,0.775,0.4965,0.4803
9.800,0.775,0.4637,0.4551
10.400,0.775,0.4311,0.4310
11.000,0.775,0.3990,0.4075
11.600,0.775,0.3677,0.3840
12.200,0.775,0.3373,0.3594
12.800,0.775,0.3080,0.3327
13.400,0.775,0.2801,0.3059
14.000,0.775,0.2537,0.2792
14.600,0.775,0.2288,0.2522
15.200,0.775,0.2056,0.2252
